,ARRIVE_TIME
983,23581.0
984,23586.0
985,23591.0
986,23596.0
987,23601.0
988,23606.0
989,23611.0
990,23616.0
991,23621.0
992,23626.0
993,23636.0
994,23641.0
995,23646.0
996,23651.0
997,23656.0
998,23661.0
999,23666.0
1000,23671.0
1001,23676.0
1002,23681.0
1003,23686.0
1004,23691.0
1005,23696.0
1006,23701.0
1007,23706.0
1008,23711.0
1009,23716.0
1010,23721.0
1011,23726.0
1012,23751.0
1013,23761.0
1014,23766.0
1015,23771.0
1016,23776.0
1017,23781.0
1018,23786.0
1019,23791.0
1020,23951.0
1021,23961.0
1022,23966.0
1023,23971.0
1024,23976.0
1025,23981.0
1026,23986.0
1027,23991.0
1028,23996.0
1029,24001.0
1030,24006.0
1031,24011.0
1032,24016.0
1033,24021.0
1034,24026.0
1035,24029.0
1036,24036.0
1037,24041.0
1038,24043.0
1039,24046.0
1040,24051.0
1041,24056.0
1042,24061.0
1043,24066.0
1044,24071.0
1045,24076.0
1046,24081.0
1047,24084.0
1048,25087.0
1049,25092.0
1050,25097.0
1051,25102.0
1052,25107.0
1053,25112.0
1054,25117.0
1055,25122.0
1056,25127.0
1057,25132.0
1058,25137.0
1059,25141.0
1060,25207.0
1061,25212.0
1062,25217.0
1063,25222.0
1064,25227.0
1065,25232.0
1066,25237.0
1067,25242.0
1068,25247.0
1069,25252.0
1070,25257.0
1071,25262.0
1072,25267.0
1073,25272.0
1074,25277.0
1075,25282.0
1076,25287.0
1077,25292.0
1078,25297.0
1079,25302.0
1080,25307.0
1081,25312.0
1082,25317.0
1083,25322.0
1084,25327.0
1085,25332.0
1086,25342.0
1087,25347.0
1088,25352.0
1089,25357.0
1090,25362.0
1091,25367.0
1092,25372.0
1093,25380.0
1094,25385.0
1095,25390.0
1096,25395.0
1097,25400.0
1098,25405.0
1099,25410.0
1100,25415.0
1101,25420.0
1102,25425.0
1103,25430.0
1104,25435.0
1105,25440.0
1106,25445.0
1107,25450.0
1108,25455.0
1109,25460.0
1110,25465.0
1111,25470.0
1112,25475.0
1113,25480.0
1114,25485.0
1115,25490.0
1116,25495.0
1117,25500.0
1118,25505.0
1119,25510.0
1120,25515.0
1121,25520.0
1122,25525.0
1123,25530.0
1124,25535.0
1125,25540.0
1126,25545.0
1127,25550.0
1128,25565.0
1129,25570.0
1130,25575.0
1131,25580.0
1132,25585.0
1133,25590.0
1134,25595.0
1135,25600.0
1136,25605.0
1137,25610.0
1138,25615.0
1139,25620.0
1140,25625.0
1141,25630.0
1142,25635.0
1143,25640.0
1144,25645.0
1145,25650.0
1146,25655.0
1147,25659.0
1148,25685.0
1149,25690.0
1150,25695.0
1151,25700.0
1152,25705.0
1153,25710.0
1154,25715.0
1155,25720.0
1156,25725.0
1157,25730.0
1158,25735.0
1159,25740.0
1160,25745.0
1161,25750.0
1162,25755.0
1163,25760.0
1164,25765.0
1165,25770.0
1166,25775.0
1167,25780.0
1168,25785.0
1169,25790.0
1170,25795.0
1171,25800.0
1172,25805.0
1173,25810.0
1174,25815.0
1175,25820.0
1176,25825.0
1177,25830.0
1178,25835.0
1179,25840.0
1180,25845.0
1181,25850.0
1182,25855.0
1183,25860.0
1184,25865.0
1185,25870.0
1186,25875.0
1187,25880.0
1188,25885.0
1189,25890.0
1190,25895.0
1191,25900.0
1192,25905.0
1193,25910.0
1194,25915.0
1195,25920.0
1196,25925.0
1197,25930.0
1198,25935.0
1199,25940.0
1200,25985.0
1201,25990.0
1202,25995.0
1203,26000.0
1204,26005.0
1205,26010.0
1206,26015.0
1207,26020.0
1208,26025.0
1209,26030.0
1210,26035.0
1211,26040.0
1212,26065.0
1213,26070.0
1214,26075.0
1215,26080.0
1216,26085.0
1217,26090.0
